"v1" "v2" "s1" "s2" "c1" "c2"
-0.85 -2.74 0.02 0.32 -1.28 -1.08
0.09 3.3 -1.43 0.73 0.4 0.46
0.24 1.36 2.19 0.48 -0.77 2.74
-1.42 -0.92 -1.24 -2.89 0.81 0.64
0.24 -0.17 -1.45 -1.5 0.14 0.84
-1.63 -1.78 2.02 2.75 -1.01 -0.67
-1.39 -2.37 -2.08 -0.27 -0.87 -0.92
-1.45 -1.41 -1.69 -1.3 1.05 -1
1.17 4.02 1.93 0.93 1.07 1.8
-0.56 -1.32 -2.7 -1.63 -1.51 -0.04
-1.99 -0.3 -0.71 -2.39 -0.68 -0.12
0.24 -0.32 -0.31 0.79 -0.97 -1.19
0.57 -0.22 0.39 1.98 -3.33 -1.16
-0.61 -1.35 -1.79 0.6 -0.92 0.64
0.22 0.11 3.38 1.03 -0.2 -0.15
0.89 0.55 0.85 1.5 -0.27 -0.51
-0.63 -1.67 2.13 1.12 -0.87 0.28
0.46 -1.99 -1.16 -2.57 -1.64 -0.43
-2.51 -0.55 1.31 0.88 -1.15 -2
0.96 -0.01 -3.45 -1.83 -0.62 0.79
0.85 0.89 1.96 1.09 -1.03 0.85
0.43 1 1.79 -1.4 1.15 -0.38
1.29 -0.63 0.37 -0.86 0.18 -0.15
-1.7 -0.84 -0.17 -2.26 1.15 0.28
1.83 -0.84 1.04 0.32 -1.65 0.46
-0.89 -0.58 -0.21 -2.1 1.55 -0.41
0.45 -0.38 -0.32 -1.19 0.55 0.16
0.99 2.39 -0.34 0.66 -0.74 0
-0.72 1.29 0.89 0.86 -0.73 1.06
0.48 -1.03 1.02 0.24 -1.06 -2.83
1.51 0.76 -0.96 -0.93 0.97 -0.36
0.72 1.28 0.4 0.27 1.31 0.39
-2.9 -1.35 -1.73 1.74 2.02 1.16
-0.68 0.27 2.87 1.02 1.84 0.66
0.54 -1.56 -0.08 0.69 1.46 0.73
-2.54 -1.05 0.23 0.11 -1.67 -0.25
-0.77 -0.77 0.78 -2.74 0.5 0.47
1.83 -0.89 -1.19 2.5 -0.69 -1.44
-0.1 2.77 -1.88 -2.53 0.15 0
-0.36 -1.53 0.17 0.08 -0.37 0.15
0.78 -0.94 -1.23 -1.17 -1.01 0.97
1.02 0.79 0.3 0.83 -1.1 -0.64
0.81 0.32 0.52 1.61 0.17 -0.5
-1.71 -0.55 -0.59 -0.65 -1.14 0.23
0.01 0.78 0.14 -0.98 -1.67 -1.29
0.37 2.77 0.22 3.31 0.12 -0.89
0.02 -1.35 -2.02 -1.12 1.5 0.06
-1.03 0.74 -0.31 -0.41 1.47 -0.83
0.59 -0.17 2.25 1.93 -0.65 2.11
-1.26 -0.45 -1.31 -1.52 0.99 -0.91
0.14 0.06 -0.08 0.2 -0.48 1.23
-2.42 -1.8 -0.96 -0.91 -0.47 -1.48
1.6 0.56 1.36 0.82 0.39 -1.32
0.18 -0.26 1.49 -1.84 1.16 -0.54
-1.36 -1.03 1.33 -0.41 -1.33 0.64
-2.26 -2.22 -0.54 -1.12 -0.91 -0.53
0.17 0.28 1.72 -0.26 0.45 0.22
-0.56 0.5 -1.21 -1.25 -0.6 0.33
1.93 3.52 0.59 2.28 1.1 1.34
2.78 0.25 -0.33 1.92 1.62 1.23
1.09 -0.89 2.85 0.62 -0.33 -0.36
-0.79 0.67 1.25 -0.39 -0.88 -0.77
1.48 3.59 -1.19 -2 0.65 1.86
0.37 -0.62 -1.59 -0.44 -0.76 -0.15
0.44 0.75 1.85 -1.16 -1.01 0.75
0.49 0.57 -1.15 -0.67 -1.14 3.2
-2.17 -1.39 0.96 -0.52 -0.67 0.52
0.32 2.37 -1.11 -1.81 -0.73 1.91
-0.75 -0.46 0.22 0.21 -0.14 -0.01
0.18 1.8 -0.89 2.73 2.78 0.71
0.1 -1.16 0.44 0.47 -0.52 1.63
1.25 1.65 0.54 1.27 -2.53 -2.19
2.36 -0.23 0.67 3.4 1.54 1.54
1.2 -1.29 -0.06 -0.51 -0.32 0.05
-2.1 -1.15 0.07 1.39 -1.7 0.66
-0.13 -0.79 0.08 0.13 -0.05 -0.66
2.08 2.17 1.16 0.05 -0.18 0.85
0.12 -0.18 -1.22 0.25 -1.11 0.52
1.1 1.96 0.86 1.2 -2.62 0.57
-0.49 -1.34 -0.77 -1.15 -1.9 0.78
-1.8 -1.65 -0.48 -1.04 -0.28 -2.39
0.96 0.92 0.39 1.29 -1.41 -0.81
-0.67 -2.3 -0.6 0.38 -0.4 -0.17
-1.6 -0.88 -4.01 -3.25 -0.4 1.26
-1.08 0.12 -0.18 0.4 2.43 1.15
-0.62 -0.57 -0.04 0.11 2.67 1.44
-1.55 -1.5 -1.4 -0.36 1.23 0.79
-2.14 0.26 -1.82 -1.79 0.62 -1.46
1.85 -0.85 0.65 -0.68 0.56 1.49
-1.84 0.24 -0.23 0.89 -0.49 0.2
1.66 2.35 -0.02 3.33 0.94 1.03
-2.55 -0.42 -0.9 -0.05 -1.73 -0.64
-0.72 -0.53 -0.2 -1.65 -0.37 -0.43
2.28 -0.05 -1.07 -2.42 1.32 0.16
-0.77 0.49 -1.59 0.44 -0.98 -0.5
0.15 -0.17 1.56 -0.14 -0.94 0.95
-2.73 -3.44 -2.02 -2.71 0.11 1.49
0.08 -0.21 -1.46 -1.66 -1.51 -1.18
1.98 -0.31 -1.35 0.57 -1.08 -1.41
0.48 -2.19 -2.16 -1.64 -0.1 -0.14
-2.42 -1.39 0.41 -1.76 -1.45 -1.47
-2.15 -2.77 -0.89 -0.65 1.85 -0.07
0.47 -3.88 0.21 0.75 1.39 1.31
-1.04 -0.55 0.13 -0.94 -0.08 1.81
1.78 1.53 2.27 1.73 2.08 -0.17
-1.07 -0.86 0.11 -0.03 -1.8 -1.44
1.22 1.08 0.09 -0.6 0.64 0.96
2.57 2.28 1.83 0.69 1.23 0.95
0.71 2.18 3.25 2.45 0.51 -0.52
0.27 -1.49 -0.44 -0.67 -0.74 -0.51
-0.62 1.05 -1.3 -0.49 0.82 2.02
-0.57 0.49 -0.57 -3.14 1.52 -1.05
-1.28 0.41 -1.4 -2.35 -0.19 -1.52
-2.95 -3.9 -0.66 -0.97 2.25 -0.27
1.81 -0.73 0.47 0.68 2.11 1.08
0.06 0.31 -0.78 -1.44 0.9 -1.29
1.17 0.68 -0.74 0.38 0.96 -0.64
